Designator,Mid X,Mid Y,Rotation,Layer
C1,140.0,-44.25,0.0,top
C10,139.999999,-74.5,180.0,top
C11,139.999999,-65.5,180.0,top
C12,139.999999,-62.0,180.0,top
C13,150.750001,-58.5,0.0,top
C14,150.749999,-55.0,180.0,top
C15,151.5,-39.0,0.0,top
C2,140.0,-55.5,90.0,top
C3,128.999999,-47.0,180.0,top
C4,126.000001,-55.0,180.0,top
C5,126.000001,-58.5,0.0,top
C6,129.0,-74.5,0.0,top
C7,128.999999,-78.0,180.0,top
C8,150.999999,-78.0,180.0,top
C9,150.999999,-83.0,180.0,top
D1,140.0,-39.0,180.0,top
D2,129.0,-81.0,180.0,top
D3,140.0,-71.0,180.0,top
D4,140.0,-68.5,0.0,top
J1,128.7375,-32.975,0.0,top
J2,151.25,-33.0,0.0,top
J3,140.0,-33.0,0.0,top
Q1,128.749999,-51.0,90.0,top
Q2,128.514999,-69.975,90.0,top
Q3,151.264999,-50.975,90.0,top
R1,142.5,-49.5,180.0,top
R10,132.5,-64.5,90.0,top
R11,131.0,-86.5,0.0,top
R12,131.0,-84.0,0.0,top
R13,149.0,-86.5,0.0,top
R14,159.5,-82.0,180.0,top
R15,151.0,-71.0,180.0,top
R16,151.0,-66.0,0.0,top
R17,151.0,-68.5,0.0,top
R18,151.0,-63.5,180.0,top
R19,159.25,-51.25,0.0,top
R2,137.5,-49.5,180.0,top
R20,159.25,-53.75,0.0,top
R21,147.5,-46.5375,90.0,top
R22,152.5,-46.5,90.0,top
R23,150.0,-46.5,90.0,top
R24,155.0,-46.5,270.0,top
R3,130.0,-42.5,270.0,top
R4,127.5,-42.5,270.0,top
R5,132.5,-55.9625,270.0,top
R6,122.5,-64.5,270.0,top
R7,125.0,-64.5,90.0,top
R8,127.5,-64.5,270.0,top
R9,130.0,-64.5,270.0,top
RV1,160.0,-74.999999,270.0,top
RV2,159.95,-59.999999,270.0,top
RV3,159.95,-44.999999,270.0,top
U1,140.0,-82.5,0.0,top
